genre,genre_id,movie_id
"Fantasy",14,58595
"Drama",18,58595
"Fantasy",14,102651
"Adventure",12,102651
"Action",28,102651
"Family",10751,102651
"Romance",10749,102651
"Science Fiction",878,119450
"Action",28,119450
"Drama",18,119450
"Thriller",53,119450
"Action",28,79698
"Adventure",12,79698
"Science Fiction",878,79698
"Romance",10749,79698
"Drama",18,64686
"Action",28,64686
"Adventure",12,64686
"Fantasy",14,64686
"Animation",16,22794
"Comedy",35,22794
"Family",10751,22794
"Action",28,100402
"Adventure",12,100402
"Science Fiction",878,100402
"Comedy",35,10192
"Adventure",12,10192
"Fantasy",14,10192
"Animation",16,10192
"Family",10751,10192
"Adventure",12,158852
"Family",10751,158852
"Mystery",9648,158852
"Science Fiction",878,158852
"Adventure",12,177572
"Family",10751,177572
"Animation",16,177572
"Action",28,177572
"Comedy",35,177572
"Family",10751,82690
"Animation",16,82690
"Comedy",35,82690
"Adventure",12,82690
"Adventure",12,5255
"Animation",16,5255
"Family",10751,5255
"Fantasy",14,5255
"Fantasy",14,10191
"Adventure",12,10191
"Animation",16,10191
"Family",10751,10191
"Action",28,296
"Thriller",53,296
"Science Fiction",878,296
"Action",28,118340
"Science Fiction",878,118340
"Adventure",12,118340
"Adventure",12,157336
"Drama",18,157336
"Science Fiction",878,157336
"Action",28,27205
"Thriller",53,27205
"Science Fiction",878,27205
"Mystery",9648,27205
"Adventure",12,27205
"Action",28,365222
"Drama",18,365222
"History",36,365222
"Action",28,315011
"Adventure",12,315011
"Drama",18,315011
"Horror",27,315011
"Science Fiction",878,315011
"Adventure",12,49051
"Fantasy",14,49051
"Action",28,49051
"Action",28,9799
"Crime",80,9799
"Thriller",53,9799
"Fantasy",14,4922
"Drama",18,4922
"Thriller",53,4922
"Mystery",9648,4922
"Romance",10749,4922
"Action",28,49538
"Science Fiction",878,49538
"Adventure",12,49538
"Animation",16,41216
"Adventure",12,41216
"Family",10751,41216
"Fantasy",14,41216
"Action",28,131634
"Adventure",12,131634
"Science Fiction",878,131634
"Fantasy",14,27022
"Adventure",12,27022
"Action",28,27022
"Comedy",35,27022
"Drama",18,27022
"Adventure",12,503
"Action",28,503
"Drama",18,503
"Thriller",53,503
"Fantasy",14,241259
"Fantasy",14,810
"Adventure",12,810
"Animation",16,810
"Comedy",35,810
"Family",10751,810
"Comedy",35,10806
"Romance",10749,10806
"Action",28,68735
"Adventure",12,68735
"Fantasy",14,68735
"Science Fiction",878,87101
"Action",28,87101
"Thriller",53,87101
"Adventure",12,87101
"Adventure",12,10140
"Family",10751,10140
"Fantasy",14,10140
"History",36,676
"Romance",10749,676
"War",10752,676
"Adventure",12,1858
"Science Fiction",878,1858
"Action",28,1858
"Family",10751,8871
"Comedy",35,8871
"Fantasy",14,8871
"War",10752,1966
"History",36,1966
"Action",28,1966
"Adventure",12,1966
"Drama",18,1966
"Romance",10749,1966
"Adventure",12,675
"Fantasy",14,675
"Family",10751,675
"Mystery",9648,675
"Adventure",12,674
"Fantasy",14,674
"Family",10751,674
"Fantasy",14,8960
"Action",28,8960
"Drama",18,6479
"Horror",27,6479
"Action",28,6479
"Thriller",53,6479
"Science Fiction",878,6479
"Adventure",12,118
"Comedy",35,118
"Family",10751,118
"Fantasy",14,118
"Animation",16,2062
"Comedy",35,2062
"Family",10751,2062
"Fantasy",14,2062
"Action",28,272
"Crime",80,272
"Drama",18,272
"Family",10751,10527
"Animation",16,10527
"Adventure",12,18360
"Fantasy",14,18360
"Action",28,18360
"Comedy",35,18360
"Family",10751,18360
"Comedy",35,170480
"Family",10751,170480
"Adventure",12,2080
"Action",28,2080
"Thriller",53,2080
"Science Fiction",878,2080
"Adventure",12,605
"Action",28,605
"Thriller",53,605
"Science Fiction",878,605
"Animation",16,109445
"Adventure",12,109445
"Family",10751,109445
"Adventure",12,604
"Action",28,604
"Thriller",53,604
"Science Fiction",878,604
"Action",28,76338
"Adventure",12,76338
"Fantasy",14,76338
"Drama",18,71866
"Action",28,76341
"Adventure",12,76341
"Science Fiction",878,76341
"Thriller",53,76341
"Thriller",53,13448
"Mystery",9648,13448
"Adventure",12,10195
"Fantasy",14,10195
"Action",28,10195
"Animation",16,13053
"Family",10751,13053
"Adventure",12,13053
"Comedy",35,13053
"Fantasy",14,19585
"Action",28,19585
"Adventure",12,19585
"Family",10751,19585
"Comedy",35,19585
"Adventure",12,57165
"Comedy",35,62213
"Fantasy",14,62213
"Action",28,177677
"Adventure",12,177677
"Thriller",53,177677
"Drama",18,7978
"Horror",27,7978
"Thriller",53,7978
"Family",10751,5559
"Animation",16,5559
"Adventure",12,5559
"Comedy",35,5559
"Animation",16,49444
"Family",10751,49444
"Action",28,10196
"Adventure",12,10196
"Family",10751,10196
"Fantasy",14,10196
"Adventure",12,956
"Action",28,956
"Thriller",53,956
"Action",28,117251
"Drama",18,117251
"Thriller",53,117251
"Adventure",12,50321
"Animation",16,50321
"Family",10751,50321
"Adventure",12,11619
"Animation",16,11619
"Comedy",35,11619
"Family",10751,11619
"Adventure",12,266647
"Family",10751,266647
"Fantasy",14,266647
"Animation",16,82703
"Adventure",12,82703
"Family",10751,82703
"Adventure",12,652
"Drama",18,652
"War",10752,652
"Animation",16,80321
"Family",10751,80321
"Adventure",12,36669
"Action",28,36669
"Thriller",53,36669
"Action",28,43074
"Fantasy",14,43074
"Comedy",35,43074
"Action",28,95
"Thriller",53,95
"Science Fiction",878,95
"Adventure",12,95
"Thriller",53,8870
"Action",28,8870
"Science Fiction",878,8870
"Action",28,608
"Adventure",12,608
"Comedy",35,608
"Science Fiction",878,608
"Adventure",12,2310
"Action",28,2310
"Animation",16,2310
"Action",28,140300
"Adventure",12,140300
"Animation",16,140300
"Comedy",35,140300
"Family",10751,140300
"Action",28,56292
"Thriller",53,56292
"Adventure",12,56292
"Fantasy",14,81188
"Animation",16,81188
"Family",10751,81188
"Action",28,9955
"Comedy",35,9955
"Drama",18,9955
"Comedy",35,7552
"Drama",18,616
"Action",28,616
"War",10752,616
"History",36,616
"Adventure",12,147441
"Drama",18,147441
"Action",28,147441
"Science Fiction",878,13475
"Action",28,13475
"Adventure",12,13475
"Fantasy",14,557
"Action",28,557
"Action",28,2789
"Science Fiction",878,2789
"Fantasy",14,82702
"Action",28,82702
"Adventure",12,82702
"Animation",16,82702
"Comedy",35,82702
"Family",10751,82702
"Fantasy",14,205584
"Action",28,10048
"Action",28,13183
"Mystery",9648,13183
"Science Fiction",878,13183
"Action",28,944
"Adventure",12,944
"Comedy",35,944
"Crime",80,944
"Thriller",53,944
"Adventure",12,36643
"Action",28,36643
"Thriller",53,36643
"Drama",18,1927
"Action",28,1927
"Science Fiction",878,1927
"Adventure",12,72559
"Action",28,72559
"Science Fiction",878,72559
"Thriller",53,72559
"Action",28,7364
"Adventure",12,7364
"Comedy",35,7364
"Drama",18,7364
"Mystery",9648,7364
"Adventure",12,2114
"Action",28,2114
"Animation",16,2114
"Fantasy",14,2114
"Science Fiction",878,2114
"Thriller",53,2114
"Action",28,1771
"Adventure",12,1771
"Science Fiction",878,1771
"Horror",27,9682
"Thriller",53,9682
"Adventure",12,8619
"Adventure",12,50620
"Fantasy",14,50620
"Drama",18,50620
"Romance",10749,50620
"Animation",16,65759
"Comedy",35,65759
"Family",10751,65759
"Science Fiction",878,1724
"Action",28,1724
"Adventure",12,1724
"Adventure",12,267935
"Family",10751,267935
"Fantasy",14,267935
"Drama",18,2567
"Western",37,281957
"Drama",18,281957
"Adventure",12,281957
"Thriller",53,281957
"Animation",16,77950
"Family",10751,77950
"Animation",16,44896
"Comedy",35,44896
"Family",10751,44896
"Western",37,44896
"Adventure",12,44896
"Family",10751,270946
"Animation",16,270946
"Adventure",12,270946
"Comedy",35,270946
"Action",28,2503
"Drama",18,2503
"Mystery",9648,2503
"Thriller",53,2503
"Adventure",12,673
"Fantasy",14,673
"Family",10751,673
"Adventure",12,9502
"Animation",16,9502
"Family",10751,9502
"Comedy",35,9502
"Science Fiction",878,102899
"Action",28,102899
"Adventure",12,102899
"Adventure",12,101299
"Action",28,101299
"Science Fiction",878,101299
"Fantasy",14,228161
"Comedy",35,228161
"Animation",16,228161
"Science Fiction",878,228161
"Family",10751,228161
"Adventure",12,74
"Thriller",53,74
"Science Fiction",878,74
"Fantasy",14,49524
"Action",28,49524
"Comedy",35,49524
"Crime",80,49524
"Adventure",12,8961
"Action",28,8961
"Comedy",35,8961
"Thriller",53,8961
"Crime",80,8961
"Action",28,417859
"Adventure",12,417859
"Animation",16,417859
"Family",10751,417859
"Fantasy",14,417859
"Action",28,27576
"Mystery",9648,27576
"Thriller",53,27576
"Drama",18,86834
"Adventure",12,86834
"Adventure",12,17578
"Animation",16,17578
"Mystery",9648,17578
"Comedy",35,38745
"Drama",18,6972
"Science Fiction",878,82700
"Action",28,82700
"Adventure",12,82700
"Animation",16,10567
"Family",10751,10567
"Adventure",12,181533
"Comedy",35,181533
"Fantasy",14,181533
"Family",10751,181533
"Animation",16,38055
"Action",28,38055
"Comedy",35,38055
"Family",10751,38055
"Science Fiction",878,38055
"Adventure",12,671
"Fantasy",14,671
"Family",10751,671
"Crime",80,36334
"Drama",18,36334
"Adventure",12,22
"Fantasy",14,22
"Action",28,22
"Science Fiction",878,131631
"Adventure",12,131631
"Thriller",53,131631
"Thriller",53,591
"Mystery",9648,591
"Animation",16,172385
"Adventure",12,172385
"Comedy",35,172385
"Family",10751,172385
"Adventure",12,36658
"Action",28,36658
"Science Fiction",878,36658
"Thriller",53,36658
"Action",28,415
"Crime",80,415
"Fantasy",14,415
"Action",28,51497
"Thriller",53,51497
"Crime",80,51497
"Adventure",12,58574
"Action",28,58574
"Crime",80,58574
"Mystery",9648,58574
"Adventure",12,18823
"Fantasy",14,18823
"Action",28,18823
"Action",28,861
"Adventure",12,861
"Science Fiction",878,861
"Adventure",12,1911
"Fantasy",14,1911
"Action",28,1911
"Action",28,49040
"Thriller",53,49040
"Action",28,435
"Adventure",12,435
"Science Fiction",878,435
"Thriller",53,435
"Adventure",12,955
"Action",28,955
"Thriller",53,955
"Drama",18,2133
"Adventure",12,1979
"Fantasy",14,1979
"Action",28,1979
"Thriller",53,1979
"Adventure",12,87827
"Drama",18,87827
"Action",28,87827
"Thriller",53,1250
"Action",28,1250
"Fantasy",14,1250
"Horror",27,1250
"Action",28,324668
"Thriller",53,324668
"Action",28,9471
"Adventure",12,9471
"Comedy",35,9471
"Science Fiction",878,70981
"Adventure",12,70981
"Mystery",9648,70981
"Family",10751,10996
"Adventure",12,10996
"Animation",16,10996
"Comedy",35,10996
"Science Fiction",878,68724
"Action",28,68724
"Drama",18,68724
"Thriller",53,68724
"Drama",18,103370
"Comedy",35,103370
"Crime",80,103370
"Action",28,97020
"Science Fiction",878,97020
"Action",28,7459
"Family",10751,7459
"Science Fiction",878,7459
"Comedy",35,42888
"Drama",18,42888
"Romance",10749,42888
"Action",28,37834
"Comedy",35,37834
"Action",28,75612
"Science Fiction",878,75612
"Adventure",12,75612
"Mystery",9648,75612
"Science Fiction",878,1895
"Adventure",12,1895
"Action",28,1895
"Adventure",12,1894
"Action",28,1894
"Science Fiction",878,1894
"Animation",16,585
"Comedy",35,585
"Family",10751,585
"Action",28,76170
"Science Fiction",878,76170
"Adventure",12,76170
"Fantasy",14,76170
"Adventure",12,1893
"Action",28,1893
"Science Fiction",878,1893
"Adventure",12,49519
"Animation",16,49519
"Comedy",35,49519
"Family",10751,49519
"Fantasy",14,49519
"Romance",10749,10198
"Family",10751,10198
"Animation",16,10198
"Music",10402,10198
"Fantasy",14,2395
"Adventure",12,2395
"Comedy",35,2395
"Family",10751,2395
"Drama",18,12100
"Action",28,12100
"History",36,12100
"War",10752,12100
"Action",28,290595
"Adventure",12,290595
"Drama",18,290595
"Science Fiction",878,98566
"Action",28,98566
"Adventure",12,98566
"Fantasy",14,98566
"Comedy",35,98566
"Science Fiction",878,49047
"Thriller",53,49047
"Drama",18,49047
"Action",28,76163
"Adventure",12,76163
"Thriller",53,76163
"Action",28,9619
"Adventure",12,9619
"Thriller",53,9619
"Fantasy",14,308531
"Action",28,308531
"Adventure",12,308531
"Comedy",35,308531
"Action",28,166424
"Adventure",12,166424
"Science Fiction",878,166424
"Action",28,1593
"Adventure",12,1593
"Comedy",35,1593
"Family",10751,1593
"Fantasy",14,1593
"Action",28,254128
"Drama",18,254128
"Thriller",53,254128
"Comedy",35,426469
"Family",10751,426469
"Drama",18,426469
"Adventure",12,714
"Action",28,714
"Thriller",53,714
"Drama",18,2024
"History",36,2024
"War",10752,2024
"Action",28,2024
"Thriller",53,163
"Crime",80,163
"Action",28,787
"Comedy",35,787
"Drama",18,787
"Thriller",53,787
"Adventure",12,262500
"Science Fiction",878,262500
"Thriller",53,262500
"Action",28,257088
"Crime",80,257088
"Thriller",53,257088
"Action",28,40805
"Crime",80,40805
"Comedy",35,40805
"Action",28,53182
"War",10752,53182
"Animation",16,41513
"Family",10751,41513
"Adventure",12,41513
"Comedy",35,41513
"Fantasy",14,41513
"Animation",16,13700
"Family",10751,13700
"Adventure",12,262504
"Science Fiction",878,262504
"Action",28,39254
"Science Fiction",878,39254
"Drama",18,39254
"Fantasy",14,77931
"Family",10751,77931
"Comedy",35,77931
"Animation",16,77931
"Action",28,1639
"Adventure",12,1639
"Thriller",53,1639
"Science Fiction",878,80274
"Action",28,80274
"Adventure",12,80274
"Action",28,1571
"Thriller",53,1571
"Adventure",12,120
"Fantasy",14,120
"Action",28,120
"Fantasy",14,10214
"Comedy",35,10214
"Family",10751,10214
"Adventure",12,10214
"Action",28,10204
"Adventure",12,10204
"Comedy",35,10204
"Drama",18,8489
"Comedy",35,10588
"Fantasy",14,10588
"Family",10751,10588
"Action",28,2048
"Science Fiction",878,2048
"Drama",18,1495
"Action",28,1495
"Adventure",12,1495
"History",36,1495
"War",10752,1495
"Animation",16,10137
"Fantasy",14,10137
"Family",10751,10137
"Comedy",35,10137
"Drama",18,286217
"Adventure",12,286217
"Science Fiction",878,286217
"Action",28,1635
"Thriller",53,1635
"Science Fiction",878,1635
"Adventure",12,1635
"Comedy",35,24113
"Romance",10749,24113
"Action",28,9679
"Crime",80,9679
"Thriller",53,9679
"Action",28,98
"Drama",18,98
"Adventure",12,98
"Horror",27,29064
"Thriller",53,29064
"Action",28,180
"Thriller",53,180
"Science Fiction",878,180
"Mystery",9648,180
"Adventure",12,672
"Fantasy",14,672
"Family",10751,672
"Adventure",12,36557
"Action",28,36557
"Thriller",53,36557
"Thriller",53,869
"Science Fiction",878,869
"Action",28,869
"Adventure",12,869
"Action",28,280
"Thriller",53,280
"Science Fiction",878,280
"Animation",16,8355
"Comedy",35,8355
"Family",10751,8355
"Adventure",12,8355
"History",36,11322
"Crime",80,11322
"Drama",18,11322
"Drama",18,4982
"Crime",80,4982
"Action",28,36955
"Thriller",53,36955
"Thriller",53,18487
"Drama",18,18487
"Crime",80,18487
"Comedy",35,39451
"Romance",10749,39451
"Drama",18,2655
"Horror",27,2655
"Mystery",9648,2655
"Thriller",53,2655
"Action",28,27581
"Comedy",35,27581
"Crime",80,27581
"Action",28,9268
"Drama",18,9268
"Mystery",9648,9268
"Thriller",53,9268
"Drama",18,68718
"Western",37,68718
"Drama",18,10545
"Animation",16,10545
"Family",10751,10545
"Adventure",12,11688
"Animation",16,11688
"Comedy",35,11688
"Family",10751,11688
"Fantasy",14,11688
"Drama",18,22314
"Action",28,22314
"Thriller",53,22314
"Crime",80,22314
"Adventure",12,2059
"Action",28,2059
"Thriller",53,2059
"Mystery",9648,2059
"Fantasy",14,2486
"Action",28,2486
"Adventure",12,2486
"Family",10751,2486
"Family",10751,16523
"Fantasy",14,16523
"Animation",16,116711
"Adventure",12,116711
"Family",10751,116711
"Fantasy",14,116711
"Action",28,37710
"Thriller",53,37710
"Romance",10749,37710
"Drama",18,83542
"Science Fiction",878,83542
"Action",28,9946
"Fantasy",14,9946
"Horror",27,9946
"Mystery",9648,9946
"Drama",18,1372
"Thriller",53,1372
"Action",28,1372
"Crime",80,106646
"Drama",18,106646
"Comedy",35,106646
"Action",28,414
"Crime",80,414
"Fantasy",14,414
"Adventure",12,563
"Action",28,563
"Thriller",53,563
"Science Fiction",878,563
"Action",28,314
"Crime",80,314
"Action",28,184315
"Adventure",12,184315
"Adventure",12,9016
"Animation",16,9016
"Family",10751,9016
"Fantasy",14,9016
"Science Fiction",878,9016
"Adventure",12,18162
"Comedy",35,18162
"Science Fiction",878,18162
"Action",28,138103
"Adventure",12,138103
"Thriller",53,138103
"Comedy",35,72105
"Fantasy",14,72105
"Thriller",53,205775
"Drama",18,205775
"Adventure",12,205775
"Action",28,205775
"History",36,205775
"Action",28,11692
"Comedy",35,11692
"Science Fiction",878,11692
"War",10752,22972
"Action",28,22972
"Adventure",12,22972
"Drama",18,22972
"Thriller",53,22972
"Animation",16,227973
"Crime",80,29193
"Drama",18,29193
"Mystery",9648,29193
"Thriller",53,29193
"Adventure",12,1734
"Action",28,1734
"Fantasy",14,1734
"Thriller",53,356841
"Action",28,356841
"Crime",80,356841
"Drama",18,3131
"History",36,3131
"Crime",80,3131
"Drama",18,76758
"History",36,76758
"War",10752,76758
"Animation",16,9408
"Comedy",35,9408
"Family",10751,9408
"Action",28,9890
"Comedy",35,9890
"Science Fiction",878,9890
"Action",28,855
"History",36,855
"War",10752,855
"Comedy",35,77953
"Animation",16,12
"Family",10751,12
"Adventure",12,18
"Fantasy",14,18
"Action",28,18
"Thriller",53,18
"Science Fiction",878,18
"Comedy",35,37786
"Drama",18,37786
"Romance",10749,37786
"Adventure",12,10501
"Animation",16,10501
"Comedy",35,10501
"Family",10751,10501
"Animation",16,57800
"Comedy",35,57800
"Adventure",12,57800
"Family",10751,57800
"Romance",10749,150689
"Fantasy",14,150689
"Family",10751,150689
"Drama",18,150689
"Fantasy",14,7980
"Drama",18,7980
"Adventure",12,122
"Fantasy",14,122
"Action",28,122
"Adventure",12,121
"Fantasy",14,121
"Action",28,121
"Adventure",12,68737
"Fantasy",14,68737
"Adventure",12,1995
"Fantasy",14,1995
"Action",28,1995
"Thriller",53,1995
"Thriller",53,157353
"Science Fiction",878,157353
"Drama",18,157353
"Mystery",9648,157353
"Comedy",35,18475
"Drama",18,18475
"Adventure",12,331
"Action",28,331
"Thriller",53,331
"Science Fiction",878,331
"Thriller",53,61791
"Action",28,61791
"Drama",18,61791
"Science Fiction",878,61791
"Adventure",12,8204
"Family",10751,8204
"Fantasy",14,8204
"Action",28,47964
"Thriller",53,47964
"Western",37,10733
"History",36,10733
"War",10752,10733
"Action",28,9806
"Adventure",12,9806
"Animation",16,9806
"Family",10751,9806
"Family",10751,18736
"Comedy",35,18736
"Action",28,1408
"Adventure",12,1408
"Adventure",12,32657
"Fantasy",14,32657
"Family",10751,32657
"Action",28,607
"Adventure",12,607
"Comedy",35,607
"Science Fiction",878,607
"Animation",16,863
"Comedy",35,863
"Family",10751,863
"Action",28,44048
"Thriller",53,44048
"Action",28,5175
"Comedy",35,5175
"Crime",80,5175
"Thriller",53,5175
"Adventure",12,116745
"Comedy",35,116745
"Drama",18,116745
"Fantasy",14,116745
"Action",28,4327
"Adventure",12,4327
"Comedy",35,4327
"Crime",80,4327
"Thriller",53,4327
"Drama",18,1422
"Thriller",53,1422
"Crime",80,1422
"Animation",16,10674
"Family",10751,10674
"Adventure",12,10674
"Action",28,7446
"Comedy",35,7446
"Science Fiction",878,10357
"Action",28,10357
"Drama",18,10357
"Thriller",53,10357
"Thriller",53,65754
"Crime",80,65754
"Mystery",9648,65754
"Drama",18,65754
"Action",28,1572
"Thriller",53,1572
"Action",28,10528
"Adventure",12,10528
"Crime",80,10528
"Mystery",9648,10528
"Drama",18,271969
"Animation",16,10865
"Family",10751,10865
"Adventure",12,10865
"Science Fiction",878,10865
"Adventure",12,258509
"Animation",16,258509
"Comedy",35,258509
"Family",10751,258509
"Drama",18,2253
"Thriller",53,2253
"History",36,2253
"War",10752,2253
"Comedy",35,10661
"Action",28,10661
"Action",28,257344
"Comedy",35,257344
"Science Fiction",878,257344
"Drama",18,644
"Science Fiction",878,644
"Adventure",12,644
"Thriller",53,10756
"Fantasy",14,10756
"Comedy",35,10756
"Family",10751,10756
"Mystery",9648,10756
"Crime",80,4477
"Thriller",53,4477
"Drama",18,4477
"Drama",18,686
"Science Fiction",878,686
"Mystery",9648,686
"Action",28,9383
"Science Fiction",878,9383
"Thriller",53,9383
"Crime",80,179
"Thriller",53,179
"Adventure",12,76285
"Family",10751,76285
"Fantasy",14,76285
"Action",28,1996
"Adventure",12,1996
"Fantasy",14,1996
"Thriller",53,1996
"Action",28,12704
"Adventure",12,12704
"Comedy",35,12704
"Action",28,291805
"Adventure",12,291805
"Comedy",35,291805
"Crime",80,291805
"Mystery",9648,291805
"Thriller",53,291805
"Thriller",53,10003
"Action",28,10003
"Romance",10749,10003
"Science Fiction",878,10003
"Adventure",12,10003
"Action",28,1535
"Crime",80,1535
"Thriller",53,1535
"Science Fiction",878,2067
"Animation",16,46195
"Adventure",12,46195
"Comedy",35,46195
"Family",10751,46195
"Comedy",35,2277
"Science Fiction",878,2277
"Drama",18,8665
"History",36,8665
"Thriller",53,8665
"Adventure",12,9387
"Fantasy",14,9387
"Action",28,9387
"Romance",10749,921
"Drama",18,921
"History",36,921
"Fantasy",14,49852
"Action",28,49852
"Family",10751,49852
"Drama",18,4464
"History",36,4464
"Action",28,664
"Adventure",12,664
"Drama",18,664
"Comedy",35,39691
"Family",10751,39691
"Adventure",12,8358
"Drama",18,8358
"Animation",16,9836
"Comedy",35,9836
"Action",28,2502
"Drama",18,2502
"Thriller",53,2502
"Action",28,9772
"Thriller",53,9772
"Thriller",53,161
"Crime",80,161
"Drama",18,301325
"Mystery",9648,301325
"Horror",27,301325
"Thriller",53,301325
"Adventure",12,52451
"Action",28,52451
"Thriller",53,52451
"Animation",16,76492
"Comedy",35,76492
"Family",10751,76492
"Fantasy",14,76492
"Comedy",35,4523
"Family",10751,4523
"Fantasy",14,4523
"Romance",10749,4523
"Action",28,59961
"Thriller",53,59961
"Comedy",35,10481
"Family",10751,10481
"Action",28,59108
"Comedy",35,59108
"Comedy",35,1581
"Romance",10749,1581
"Action",28,9798
"Drama",18,9798
"Thriller",53,9798
